0	丝米 分 零点五
histosol	有机土
histrionic	戏剧化人格违常
hit	命中率 掊 杀手
hitachi	日立
hitandrun	肇事逃逸
hitching	扳龙附凤
hither	来
hitherto	尔来
hitler	卫生胡
hits	访问量
hitting	着
hiv	爱滋病毒 艾滋病病毒
hives	荨麻疹
hmcs	加拿大皇家
hmd	头显
hmm	欸
hmong	苗 苗族
hms	伴侣号 紫石英号
ho	胡志明 胡志明市
hoanya	洪雅族
hoar	白霜
hoarfrost	雾凇
hoarse	哑 喑哑 嗄 嘶哑 嘶哑声 岔调 干涩 沙 沙哑 粗哑
hoary	白头
hoarythroated	纹头斑翅鹛
hob	炉台
hobart	荷巴特 霍巴特
hobbing	滚齿
hobbit	哈比人
hobbs	霍布斯
hobby	兴趣 嗜好 娱乐 爱好 癖
hobbyist	业余爱好者
hobgoblin	鬼怪
hoboksar	和布克赛尔县 和布克赛尔蒙古自治县
hockey	曲棍 球棒
hodgepodge	全家福 四不像 杂拌
hodgson	霍氏旋木雀 霍氏鹰鹃 鹰雕 黑喉红尾鸲 黑顶蛙口鸱
hoe	劐 杷 耔 耡 耨 鉏 鍹 铻 锄头 镃 镈 镢 镢头 𫓹
hoelen	五苓散
hoes	见色忘义
hofmann	霍夫曼
hog	猪 豕
hogwarts	霍格沃茨
hogwash	胡话
hoh	可可西里
hohhot	呼和浩特市
hoi	P民 会安 屁民 普通老百姓
hoisin	海鲜酱
hoist	以子之矛，攻子之盾 作茧自缚 吊机 吊车 吐丝自缚 葫芦 起重葫芦 造茧自缚
hoisted	搬起石头砸自己的脚
hoisting	吊索
hokey	扯
hokkaid	北海道
hokkien	闽南话 闽南语
hokksund	霍克松
hoklo	河洛人 福佬 鹤佬人
holbrook	霍尔布鲁克
hold	仓 嗛 屏息 挜 挟天子以令天下 挟天子以令诸侯 等等 船舱
holdall	手提包
holder	持有人 铺 铺首
holding	健在 兼 控股公司 身兼
holdings	庄
holdup	抢劫案
hole	一击入洞 一杆进洞 冰洞 口子 坎 坑洞 坑洼 坜 埯 堀 孔 孔眼 孔穴 屇 打孔器 洞 洞孔 漏洞 穴 窍 窟 窟窿 窦 窬 窿 膜孔 臽 龋洞
holiday	佳节 节日 蟹爪兰
holierthanthou	自命清高
holingol	霍林郭勒市
holistic	全方位 完形 宏观 整体 格式塔疗法 辨证论治
holland	荷 荷兰
hollow	中空 凹陷 削瘦 坑 坑洼 坳 夹层 夼 干 掌心 枵 浮 空心 空心墙 空心球 空空如也 空空洞洞 空虚 窾 腘窝 膛 芤 虚空
holly	冬青 冬青树
hollyhock	蜀葵
hollywood	好莱坞
holmes	霍尔姆斯
holmium	錵 钬
holocene	全新统
hologram	立体图
holographic	全息
holomorphic	全纯
holotype	正型标本 正模标本
holy	三位一体 哇靠 圣 圣事 圣体血 圣像 圣地 圣城 圣婴 圣子 圣战 圣杯 圣水 圣油 圣灵 圣父 圣盘 圣礼 圣神 圣者 圣膏油 圣贤书 圣躬 圣迹 圣餐 奥迹 打抛 神圣 神圣周
home	中外 主场 主页 乡 亵服 偏方 全垒打 单方 地主队 地方自治 境内外 家 家养 家园 家宅 家居 家常菜 家庭地址 家庭影院 家用电脑 家里 居处 居家 屋企 府上 归宿 房贷 故乡 故里 本乡 本垒 本垒打 检孕棒 母国 母星 母港 红不让 老家 送货到家 送餐 逆耳之言 首页 验孕棒
homebody	阿宅
homecoming	临门
homegrown	中国产
homeland	国土安全 家园 故乡 热土
homeless	无家可归 流浪 流离 颠沛流离
homeloving	恋家
homemade	土制 猫饭 自制
homeopathy	顺势疗法
homeostasis	稳态
homepage	烘焙鸡
homer	奥德赛 荷马
homeroom	班导 班导师
homes	民居
homesick	怀乡 想家
homesickness	乡情 乡愁 思乡病 眷眷之心 莼羹鲈脍 莼鲈之思
homespun	土布
homestay	民宿
homestyle	家常豆腐
hometown	乡梓 侨乡 家乡
homeuse	家用
homeward	归程
homework	作业 功课 家庭作业
homicidal	杀人狂
homicide	他杀 命案 杀人 杀人案 杀人犯
homie	猴米
homing	信鸽 寻的
hominid	类人猿
hominini	人族
homo	北京猿人 巧人 智人 现代人 直立人 经济人 能人
homogeneity	均匀性 齐性
homogeneous	同质 均一 均匀 齐性 齐次
homogenized	均质
homogenous	均质
homology	同源 同调
homomorphism	同态
homonym	同音词 筒子 谐音
homonymic	同音
homonymous	同名
homophobia	同性恋恐惧症 恐同症
homophone	同音词 小韵 戴表 谐音
homophonic	谐音梗
homophonous	同音 谐声
homoptera	同翅目
homosexual	分桃 同志 同性 同性恋者 同性爱 断背 断袖 龙阳君
homosexuality	同性恋
hon	鸿海
honda	本田
hondlon	昆都仑区
honduras	宏都拉斯 洪都拉斯
honecker	昂纳克
honed	久负盛名
honest	一尘不染 一点水一个泡 一琴一鹤 仁厚 刚正 前门 勤政廉政 坦白 塞渊 实 实在 实诚 廉 廉洁 心口如一 忠厚 悫 惇 愿 憨直 戆 敦厚 方 木讷寡言 正值 正当 正直 深切 淳 清官 清廉 清风两袖 真切 端方 笃厚 纯正 老实 耿 耿直 蒙 诚实 诚恳 诚笃 谔 谠 顜
honestly	老实说 说真的
honesty	巧诈不如拙诚 忱 诚信
honewort	北柴胡 车轴草
honey	哈尼 平头哥 水蜜桃 美人计 蜂蜜 蜜 蜜囊 蜜桃 蜜獾 蜜糖 蜜罐 阿囡
honeybee	小蜜蜂 蜜蜂
honeycomb	蛡 蜂巢 蜂巢胃 蜂房 蜂窝
honeydew	哈密瓜 白兰瓜 蜜露
honeyeater	吸蜜鸟
honeymoon	蜜月 蜜月假期
honeysuckle	忍冬 金银花
hong	信报财经新闻 国务院港澳事务办公室 塘角鱼 天王 汇丰 汇丰银行 洋紫荆 洪亮吉 洪秀全 港 港交所 港人 港元 港区国安法 港台 港岛 港币 港府 港式 港普 港澳 港澳办 港澳台 港澳地区 港灿 港独 港珠澳 港珠澳大桥 港股 港警 港龙航空 皇太极 皇太极清太宗 红安县 轻铁 飞虎队 香港 香港交易所 香港人 香港基本法 香港岛 香港工会联合会 香港文化中心 香港湿地公园 香港理工大学 香港科技大学 香港红十字会 香港警察 香港贸易发展局 香港足球总会 香港金融管理局 香港银行公会
honggang	红岗区
honggu	红古区
honghe	红河县 红河哈尼族彝族自治州
honghu	洪湖市
honghuagang	红花岗区
hongjiang	洪江市 洪江管理区
hongkou	虹口区
hongmen	鸿门宴
hongqi	红旗区
hongqiao	红桥 红桥区 虹桥 虹桥机场
hongshan	洪山区 红山区
hongsibao	红寺堡 红寺堡区
hongta	红塔 红塔区
hongtong	洪洞 洪洞县
hongwei	宏伟区
hongwu	洪武
hongxi	洪熙
hongxing	红星区
hongya	洪雅 洪雅县
hongyuan	红原 红原县
hongze	洪泽湖
hongzhi	弘治
honiara	荷尼阿拉 霍尼亚拉
honinbo	本因坊 本因坊秀策
honing	养精蓄锐
honk	呷呷 嘎嘎 嘟 嘟嘟响
honolulu	檀香山 火奴鲁鲁
honor	义无反顾 仪仗队 仪队 信义 光荣 光荣榜 名誉 大牌 尊严 尊荣 巴尔扎克 廉耻 荣 荣耀 荣誉 荣辱 贞操 贲临
honorable	令弟 令誉 体面 光明正大 公 尊敬 尊贵 正经 清流 虽败犹荣
honorarium	谢仪 谢礼
honorary	名誉 名誉博士 名誉博士学位 名誉学位 荣誉 荣誉博士 荣誉博士学位 荣誉学位 谥号
honored	嘉宾 尊者 尊驾 座上宾 荣幸 贵宾
honorific	久仰 仙乡 令 光禄大夫 卿 士 尊 尊号 尊称 敬称 敬语 昆玉 显考 杏林 氏 禅师 蒋公 贤 雅称 高堂 高足
honours	荣誉学位
honsh	本州
hood	兜帽 头罩 引擎盖
hooded	白头鹤 连帽卫衣
hoodie	连帽卫衣
hoodlum	光棍 恶徒 无赖 歹徒 流氓 混子 混混儿 混蛋 白相人 阿飞
hoof	蹄 蹄子 蹢
hoofprint	蹄印
hook	剳 勾手 勾拳 字脚 挂钩 胡克 钜 钩 钩子 钩扣 钩拳
hookah	水烟壶 水烟管 水烟袋
hooker	妓女
hookup	联播
hooligan	古惑仔 小混混 烂崽 痞子 阿飞
hooliganism	流里流气
hoop	圈状物 环 箍 篮圈 绷子
hooped	箍桶
hooper	箍桶匠
hoopoe	呼哱哱 鵀 𱉝𫛡
hoots	哄笑
hoover	胡佛
hop	三级跳 三级跳远 蛇麻草
hopcalite	氧化罐
hope	企望 后会有期 想头 愿 指望 期望 生机 祈望
hopeful	乐观 有希望 有望
hopefully	可望
hopeless	不可收拾 不可救药 大厦将倾 扶不起的阿斗 无望 死局 死棋 没戏 没救 没治
hopelessly	纠缠不清
hopes	希望落空 盼头
hoping	以期
hopper	斗车 料斗
hopping	跳脚
hops	啤酒花 忽布 蛇麻 酒花
hopscotch	跳房子
hor	河粉
horace	贺拉斯
horatio	尼尔逊 纳尔逊
hordeolum	睑腺炎 针眼 麦粒肿
horinger	和林格尔县
horizon	地平线 天边 天际 天际线 涯 眼界
horizontal	分数线 匾 单杠 卧式 楯 横 横剖面 横匾 横向 横坐标 横幅 横批 横排 横摺 横断面 横木 横杠 横标 横纹 横线 横贯 横钩 横额 水平 水平尾翼 水平轴 水平面 画 跨度 连横 门闩 额
horkheimer	霍克海姆
horlicks	好立克
hormone	激素 荷尔蒙 贺尔蒙
hormuz	霍尔木兹 霍尔木兹岛
horn	号 喇叭 犄角 篥 角 觥 非洲之角
hornbill	犀鸟
hornblende	普通角闪石 角闪石
horned	角䴙䴘 角百灵
hornet	胡蜂 虎头蜂 马蜂
hornless	螭首 麇
horns	觡
hornshaped	角
hornwort	苲草 金鱼藻
horny	发骚 好色 色色迷迷 色迷
horologium	时钟座
horoscope	占星 命相 星座运势 星盘 流年 运势
horowitz	霍洛维茨
horqin	科右中旗 科右前旗 科尔沁 科尔沁区 科尔沁右翼中旗 科尔沁右翼前旗 科尔沁左翼中旗 科尔沁左翼后旗
horrendous	惨不忍睹
horrible	可怕 怵目惊心 糟透 触目惊心
horrid	讨人厌
horrified	竦
horrifying	渗人 骇人听闻
horror	恐怖片 恐怖电影 惊悚 惊栗
hors	前菜
horse	㐷 圉 圉人 宦骑 尾 征马 桫 牧圉 秣 赛马 跑马 跑马厅 踢马刺 輂 鞁 騑 騺 马 马匹 马头 马奶酒 马尾 马屁 马房 马步 马科 马背 马蛔虫 马贼 马蹄 驯马人 驯马场 驲 骍 骑师 骑手 骡马 鬃 鬐 𫘬 𬴊
horseback	骑行
horseface	马面
horsefly	虻
horsehead	马头星云
horsekeeper	马夫
horseleech	蟥
horseman	骑师 骑马者
horsemanship	马术 骑术
horsepower	匹 匹马力 马力
horseradish	辣根 青芥辣
horses	一个萝卜一个坑 征驾
horseshoe	掌 马掌 马蹄 马蹄形 马蹄蟹 马蹄铁 鲎 鲎鱼
horsetail	拂尘
horsewhip	马鞭
horst	克勒
horten	霍尔滕
horticultural	园艺
hosanna	和散那
hose	水龙 软管 长袜
hosni	穆巴拉克
hospice	临终关怀 安养院 安宁病房 收容所
hospitable	好客 宜人 殷
hospital	医院 病号服 病床 看护
hospitalacquired	院感
hospitality	好客
host	东 东道 东道主 主 主人 主办国 主宾 主持人 主播 主机 主队 地主 宿主 寄主
hostage	人质 肉票 质
hostel	宿舍 招待所 旅社 旅舍
hostess	主妇 女主人 酒店
hostile	敌军 敌对 敌对性 敌视 眼毒 龙潭虎穴
hostilities	战事
hostility	仇恨 嫌隙 敌对性 敌意
hostname	主机名
hot	ㄏㄤ 中辣 小钢炮 怒火 打边炉 暍 暑 暑天 暑热 暵 榨菜 汤 汤泉 汤浴 海椒 涮锅子 温泉 温泉城 温泉蛋 温玉 游资 潮热 火 火炎焱燚 火烧云 火辣 炎夏 炙手可热 烔 烫手山芋 热 热乎 热压 热土 热处理 热帖 热战 热插拔 热敷布 热气球 热水 热水澡 热水瓶 热泪 热点 热熔胶 热狗 热腾腾 热茶 热血 热补 热裤 热钱 热门 热食 热饮 爆款 猛料 电炉 番椒 秋老虎 秦椒 红星 红辣椒 臭臭锅 蹿货 辛 辣 辣妈 辣妹 辣椒 辣汁 辣胡椒 酸辣土豆丝 酸辣汤 酸辣粉 酸辣酱 铁板 闷热 风口 麻辣 麻辣烫
hotan	和田县 和田地区 和田市 和田河 和田玉
hotbed	渊薮 温床
hotdesking	办公桌轮用
hotel	PA部 住客 包房 大床房 客栈 宾馆 旅社 旅馆 英迪格酒店 酒店 钟点房 饭店
hothead	冒失鬼
hotheaded	鲁莽
hothouse	唐花 暖房
hotkey	快捷键 热键
hotline	专线 热线
hotmelt	热熔胶
hotpot	火锅 锅子 锅底
hotrolled	热轧
hotrolling	热轧
hotselling	热卖品 热销
hottempered	二杆子 躁
hottest	伏
hotton	霍顿
hotwater	塘 汤婆 汤婆子 热水袋
hou	猴拳
houbi	后壁
houhai	后海
houlung	后龙 后龙镇
houma	侯马市
hound	猎犬 走狗
hour	小时 时 时针 钟头 钟点
hourglass	沙漏 滴漏计时器
hourly	小时工 时薪 每时每日 钟点工
house	上门费 二手房 人家 众议院 住舍 供房 出诊 十面埋伏 吊楼 壁虎 宅子 宅舍 宅院 守宫 宠物 宫位 家宅 家家酒 家猫 家蝇 家门 家鸦 家麻雀 小家鼠 小白腰雨燕 居 屋 屋子 屋宇 房 房主 房价 房子 房屋 房舍 房钱 楼 民宅 浩室 海砂屋 特调 舍 蚰蜒 门 门牌 鼷鼠
housebreaking	撬窃
housebuilder	建商
housefly	苍蝇 蝇子
household	万元户 人家 住家 住户 名数 器皿 家伙 家务 家务活 家子 家庭 家电 居家 户口名簿 户口本 户口簿 户均 户籍 日化 桌椅板凳 火烛 神龛 联产到户
householder	住户 钉子户
househusband	家庭主夫 家庭煮夫
housekeeper	佣妇 保姆 女管家 暖巢管家 男管家 管家
housekeeping	家政 家政员 家用
houses	民居
houseswap	换房旅游
housetop	房顶
housewife	主妇 家庭主妇 管家婆
housework	家事 家务
housing	住宅区 住宅泡沫 住房 壳 安居工程 小区 居第 房屋中介
houston	休士顿 休斯敦 休斯顿
houttuynia	蕺 蕺菜
houyi	后羿
hovercraft	气垫船
how	不亦 不入虎穴，焉得虎子 不然 争 伐柯 何 何以 何以见得 何其 何如 何尝 何等 何许 光阴似箭 光阴荏苒 几 几个 几何 几多 几岁 几年 几度 几许 可堪 吃法 名实 哪 哪儿 多 多久 多么 多大 多少 奈何 好不 如何 宁 安得 岂 岂不 岂敢 岂有此理 底细 怎 怎一个愁字了得 怎么 怎么回事 怎么得了 怎么搞的 怎么样 怎么着 怎么说呢 怎样 怎生 怎的 怎能 恁 情何以堪 意下如何 操斧伐柯 日月如梭 时事 曷 此话怎讲 渠 焉 焉知 白驹过隙 糟糕 若干 要不 讵 过得 过得去 近景 这么 这还了得 那 酒量 长势 风向 风头
howard	霍华德
however	不过 但 但是 却 只是 可 可是 多么 山外有山，天外有天 强中自有强中手 怎奈 然而 然鹅 第
howitzer	榴弹炮
howl	嚎
howling	潇潇 狂风暴雨
howto	攻略
hoxud	和硕 和硕县
hp	惠普公司
hsiangshan	香山区
hsinchu	新竹市
hsinpei	新北
hsinpi	新埤 新埤乡
hsinyi	信义区
hsinyuan	新园 新园乡
hsk	汉语水平考试
hsu	许信良
html	超文本标记语言
http	超文件传输协定 超文本传输协定
hu	胡乐 胡佳 胡紫薇 胡耀邦 胡适 胡鄂公 胡铨 胡锡进 胡锦涛 虎爪派
hua	华佗 华国锋 华安县 华拳 华罗庚 滑县 花木兰
huabeisaurus	华北龙
huachi	华池县
huachuan	桦川县
huade	化德县
huadian	桦甸市
huadu	花都区
huai	怀安县 淮安市 淮河
huaibei	淮北市
huaibin	淮滨县
huaihai	淮海 淮海地区 淮海战役
huaihua	怀化县 怀化市
huaiji	怀集县
huailai	怀来县
huainan	淮南市
huaining	怀宁县
huairen	怀仁堂
huairou	怀柔区
huaishang	淮上区
huaiyang	淮阳区
huaiyin	槐荫区 淮阴区
huaiyuan	怀远县
huaji	滑稽
hualien	花莲 花莲县 花莲市
hualinbu	华林 华林部
hualong	华龙区
huambo	万博省
huan	桓玄 环县
huanan	桦南县
huancui	环翠 环翠区
huang	黄信 黄光裕 黄兴 黄华 黄宗羲 黄宾虹 黄巢 黄巢起义 黄庭坚 黄忠 黄泛区 黄滔 黄父鬼 黄石公 黄菊 黄遵宪
huangchuan	潢川县
huangdao	黄岛 黄岛区
huangfu	皇甫嵩 皇甫镈
huanggang	黄冈市
huanggu	皇姑 皇姑区
huangguoshu	黄果树大瀑布 黄果树瀑布
huanghua	黄骅市
huanghuagang	黄花岗 黄花岗起义
huangling	黄陵 黄陵县
huanglong	黄龙 黄龙县
huanglongbing	黄龙病
huangmei	黄梅县 黄梅戏
huangnan	黄南藏族自治州
huangpi	黄陂区
huangping	黄平县
huangpu	黄埔区 黄浦区 黄浦江
huangqi	黄耆 黄芪
huangshan	黄山区 黄山市
huangshi	黄石市
huangshigang	黄石港区
huangshui	湟水
huangting	黄庭经
huangyan	黄岩 黄岩区 黄岩岛
huangyuan	湟源 湟源县
huangzhou	黄州区
huaning	华宁 华宁县
huanjiang	环江毛南族自治县
huanren	桓仁 桓仁满族自治县
huansahji	浣纱记
huantai	桓台 桓台县
huaping	华坪 华坪县
huaqiao	华侨大学
huarong	华容区 华容县 华容道
huashan	花山区
huashixia	花石峡
huatan	花坛 花坛乡
huating	华亭市
huawei	华为
huaxi	花溪区
huaxia	华夏银行
huayin	华阴市
huaying	华蓥市
huayuan	花垣县
huazhou	化州市
hub	中枢 众说郛 拓展坞 枢纽 花鼓 轮毂 辏 集线器
hubble	哈伯太空望远镜 哈勃
hubbub	人喊马嘶 人声鼎沸 哄 喊声 喧哗 喧腾 尘嚣 欢
hubbubing	沸沸扬扬
hubcap	毂盖 轮毂罩
hubei	两湖 湖北省 湖广
hubin	湖滨区
hudson	哈德逊河
hue	色相 色调 顺化
huelva	韦尔瓦
huet	黑眉雀鹛
huffington	赫芬顿邮报
hufflepuff	赫奇帕奇
huge	人从众𠈌 伟大 厖 大变 尨 巨 巨兽 巨大 巨大影响 巨款 巨石 巨资 巨量 庞 庞大 庞然大物 庬 斗大 浩大 海量 灪 硕大 硕大无朋 硕大无比 誧 身高马大 轩然大波 重利 鲸波
hugo	毕尼奥夫 雨果
huguan	壶关 壶关县
huh	欸
huhsi	湖西 湖西乡
hui	回 回族 回族人 回民 回良玉 徽县 惠安县 惠施
huichang	会昌县
huicheng	惠城区
huichuan	汇川区
huidong	会东县 惠东县
huihe	回纥
huihu	回鹘
huiji	惠济区
huilai	惠来县
huili	会理市
huimin	回民区 惠民 惠民县
huinan	辉南县
huineng	慧能
huining	会宁县
huinong	惠农 惠农区
huishan	惠山区
huishui	惠水县
huitong	会同县
huixian	辉县市
huiyang	惠阳区
huiyuan	惠远寺
huize	会泽 会泽县
huizhou	徽州区 徽语 惠州市
huizi	惠子
hukou	湖口 湖口乡 湖口县
hula	呼啦圈 呼拉圈
hulan	呼兰区
huli	湖里区
hulin	虎林市
hull	外壳 船体 船壳 船身 赫尔
huludao	葫芦岛市
hulun	呼伦湖
hulunbuir	呼伦贝尔市 呼伦贝尔草原
hulusi	葫芦丝
hum	哼声 嗡 嗡嗡 嗡嗡叫 嗡嗡声 噶啷啷
huma	呼玛县
human	中国人权组织 人为 人之常情 人事 人事处 人事部 人体 人体器官 人体解剖 人体解剖学 人力接龙 人力资源 人口贩运 人命 人命关天 人墙 人定胜天 人寿 人居 人形 人性 人情 人情味 人手 人文 人文地理学 人权 人权法 人权观察 人梯 人海战术 人生如朝露 人生朝露 人皇 人盾 人类 人类乳突病毒 人类免疫缺陷病毒 人类基因组计划 人肉 人肉搜索引擎 人肉沙包 人蛇集团 人证物证 人贩子 人身 人道 人链 人际 伦 前胸 叠罗汉 大粪 小白鼠 手足口症 拐卖 植物人 狼孩 粪尿 红尘 纸人 绒毛性腺激素 肉盾 艾滋病毒 蛇头 蛲 蛲虫 躯 遗骨 遗骸 骷髅
humane	人道 仁 仁惠 仁政 慈 有人情
humanism	人文主义 人道主义
humanistic	人间佛教
humanitarian	人道主义 人道救援 慈善家 民间组织
humanitarianism	人道
humanities	人文 人文学 人文社会学科 人文社科 文科
humanity	人性 人类 心肝
humanoid	人形
humanshaped	人形
humble	㧑 下贱 低微 低贱 卑 卑微 卑辞厚币 卑辞厚礼 卑陋 哪里 孤寒 微微 微臣 微贱 拙政园 拙朴 柴门 榛芜 浅见 猥 眇 菲 菲薄 蓬户 蓬户瓮牖 蓬筚 蓬荜 蓬门筚户 蓬门荜户 虚 虚心 蜗居 蜗庐 谦卑 谦诚 谦语 谦辞 谦逊 鄙见 错爱 陋 陋屋
humboldt	洪堡
humbug	鬼扯
hume	休氏旋木雀 休氏树莺 淡眉柳莺 细嘴短趾百灵
humen	虎门
humerus	肱骨
humic	腐殖酸
humid	滋润 潮
humidifier	加湿器
humidity	湿度 湿气 潮气
humiliated	受辱 羞恼
humiliating	屈辱 损人 降格
humiliation	丢脸 外侮 抛脸 欺辱 羞辱 耻 耻辱
hummer	悍马
humming	謍
hummingbird	蜂鸟
hummus	鹰嘴豆泥
humor	幽默 谐趣 风趣
humorous	幽默 打油诗 捉急 碉堡 笑点 诙 诙谐 诨号 诨名 谐 谐称 谐谈 谐谑 风趣
hump	驼 驼峰
humpback	座头鲸 驼背鲸
humped	犎
humph	哼
humulus	葎
humus	腐殖土
hun	洪森 浑河
hunan	湖南大学 湖南省 湘军 湘勇 湘绣 湘菜
hunanguangxi	湘桂运河
hunanguizhou	湘黔
hunchback	偻 橐驼 驼子 驼背
hunchbacked	伛 踽 驼背
hunched	微驼
hunchun	珲春市
hundred	万万 佰 十万 十二分 十分 十足 千亿 愁肠百结 戊戌变法 戊戌维新 滴水不羼 百 百分制 百团大战 百年 百日维新 百花奖 百花运动 维新变法
hundredeyed	百眼巨人
hundreds	万峦 成百上千 数以百计
hung	洪佛 洪家 洪秀柱 红磡
hungarian	匈 匈牙利语 匈语 马扎尔 马扎尔语
hungary	匈 匈牙利
hunger	啼饥号寒 断食 簻 绝食抗议 饥饿
hungover	酲
hungry	饥 饥渴 饿 饿鬼 馁
hungrylooking	薖
hunt	獠
hunter	亨特 猎人 猎户 猎手
hunting	围场 狩 狩猎 猎 猎刀 猎场 猎捕 猎枪 猎犬 猎狗 走狗
huntington	亨丁顿舞蹈症 亨廷顿舞蹈症
hunyuan	浑源 浑源县
huocheng	霍城 霍城县
huojia	获嘉县
huoqiu	霍丘 霍邱县
huoshan	霍山县
huozhou	霍州市
huqin	胡琴
huqiu	虎丘区
hur	医道
hurdle	关卡 栏 栏架 跨栏
hurdles	跨栏
hurdygurdy	手摇风琴
hure	库伦旗
hurrah	好哇
hurray	好哇
hurricane	暴风骤雨 狂飙 飓风 龙卷风
hurried	偬 匆 匆忙 匆猝 匆遽 卞 急 急促 急匆匆 急拍拍 急速 慌乱 猖猖狂狂 行色匆匆 造次 遑遑
hurriedly	三脚两步 仓促 匆匆 忙 忙不迭 急急忙忙 慌得 赶紧
hurry	快点 撺 遽
hurt	少块肉
hurts	疼
husain	侯赛因
husband	丈 丈夫 两口儿 两口子 人夫 伉俪 伯叔 俪 先生 公公 公婆 公母俩 公爹 叔 叔公 叔婆 叔子 堂妹夫 堂姐夫 大伯 大伯子 大姑 夫 夫君 夫妇 夫妻 夫婿 夫家 姑 姑丈 姑夫 姑子 姑父 姑爹 姨丈 姨夫 姨婆 姨父 婆婆 婆家 婿 嫜 家娘 小叔 小姑 小姑子 少年夫妻老来伴 汉子 相公 眷属 翁姑 老伴 老儿 老公 老公公 老头 良人 表妹夫 表姐夫 襟兄 襟弟 阿家 鸾凤
husbands	爷们 连襟
hush	吁 嘘 封口费
hushhush	神不知鬼不觉
husk	包衣 大腹皮 毛酸浆 稃 糠 谷壳 颖
husks	秕
husky	哈 哈士奇 哑 嘶哑 岔调 彪形 彪形大汉 沙哑 粗厉 粗哑
hussein	侯赛因
hussy	小妖精 蹄子
hustle	尘嚣
hut	厪 寮 寮房 小屋 庐 庵 廑 茅舍
hutchison	和记黄埔
hutu	胡图族
hutubi	呼图壁 呼图壁县
huwei	虎尾 虎尾镇
huwen	胡温新政
huxley	赫胥黎
huygens	惠更斯
huzhong	呼中区
huzhou	湖州市
hwang	黄长烨
hy	兵库 兵库县
hyacinth	扁豆 风信子
hyaluronan	玻尿酸 透明质酸
hyaluronic	玻尿酸 透明质酸
hyatt	凯悦
hybrid	复合 杂交植物 杂种 混合 混合动力车 混合型汽车 混合模型 混种 混血
hyde	海德 海德公园
hydra	水螅 长蛇座
hydrangea	绣球花
hydrate	水合物
hydrated	水合物 熟石灰
hydration	水合
hydraulic	水利家 水利工程 水力 水力压裂 水力鼓风 液力 液压 液压传动 液压千斤顶
hydraulics	水力学
hydrazine	联氨 肼
hydrazone	腙
hydrobromic	氢溴酸
hydrocarbon	烃 烃蜡 碳化氢 碳氢化合物
hydrochloric	氢氯酸 盐酸
hydrochloride	盐酸盐
hydrocyanic	氢化氰
hydrodynamics	流体力学
hydroelectric	水力发电站 水电 水电站 水能 水能源
hydroelectricity	水力发电
hydrofluoric	氟化氢 氢氟酸
hydrofluorocarbon	氢氟烃
hydrofoil	水翼船
hydrogen	双氧水 氢 氢化氰 氢原子 氢弹 氢气 氢能源 氢键 氯化氢 硫化氢 过氧化氢 过氧化氢酶
hydrogenase	氢酶
hydrogenated	加氢油
hydrogenation	氢化
hydrohalic	氢卤酸
hydrology	水文
hydrolysis	水解
hydronuclear	流体核试验
hydroperitoneum	腹水
hydrophilic	亲水性
hydrophilus	蜛
hydrophobia	恐水症 瘈
hydrophobic	疏水
hydroponics	水培法 水耕法
hydrosol	花露水
hydrosphere	水圈
hydrosulfuryl	巯
hydrotherapy	水疗
hydrothermal	海底热泉
hydroxide	氢氧化 氢氧根 氢氧根离子 氢氧离子
hydroxyacid	醇酸
hydroxyapatite	羟基磷灰石
hydroxychloroquine	羟氯喹
hydroxyl	羟 羟基 羟自由基
hydroxylamine	胲
hydrus	水蛇座
hyena	鬣狗
hygiene	卫生
hygienic	卫生
hylobates	猭
hylobatidae	长臂猿
hymen	处女膜 阴道瓣
hymenoptera	膜翅目
hyminal	安眠酮
hymn	圣歌 圣诗
hynobius	山椒鱼
hype	天花乱坠
hyper	极超 超级
hyperactive	心猿意马
hyperactivity	静坐不能
hyperbaric	高压氧 高压氧治疗 高压氧疗法
hyperbola	双曲 双曲线
hyperbole	夸大之词 夸张
hyperbolic	双曲 双曲余割 双曲余弦 双曲几何 双曲抛物面 双曲正弦 双曲线正弦 罗式几何 罗氏几何
hyperboloid	单叶双曲面 双曲面
hyperemia	充血
hyperfunction	亢进
hyperglycemia	高血糖
hyperinflation	恶性通货膨胀
hyperlink	超级链接 超连结 超链接 超链结 连结 链接
hyperlipidemia	高脂血症
hypermarket	大卖场 量贩店
hypermedia	超媒体
hypernym	上位词
hyperopia	远视
hyperostosis	骨肥厚
hyperplane	超平面
hyperplasia	增生
hypersensitive	过敏 过敏性 过敏性反应
hypersensitivity	超敏反应
hypersomnia	嗜睡症
hyperspace	超维空间
hypertension	过度紧张 高血压
hypertext	超文件 超文件传输协定 超文本 超文本传输协定 超文本传送协议 超文本标记语言
hyperthyroidism	甲亢 甲状腺功能亢进
hypertriglyceridemia	高脂血症
hypertrophy	肥大 肿大
hypha	菌丝
hyphen	杠 连号 连字号 连字符 连字符号 连接号
hypnosis	催眠 催眠状态
hypnotherapy	催眠术
hypnotism	催眠术
hypo	次 海波
hypobromous	次溴酸
hypocenter	震源
hypochlorous	次氯酸
hypochondria	疑病症 虑病症
hypochondriasis	疑病症
hypochondrium	季肋
hypocrisy	假仁假义 假意 口是心非 薄养厚葬
hypocrite	乡愿 伪君子 伪善者
hypocritical	伪善 假正经 猫哭老鼠 猫哭耗子 甜言美语 虚伪 虚情假意 鬼画符
